,Open,High,Low,Close,Volume
2024-03-20 16:00:00,178.66,180.471,176.265,177.77,15093493
2024-03-20 17:00:00,177.75,181.082,175.82,176.65,456053
2024-03-20 18:00:00,176.65,176.93,176.27,176.4,172989
2024-03-20 19:00:00,176.41,176.72,176.25,176.3,108791
2024-03-21 04:00:00,176.58,177.03,176.09,176.78,83458
2024-03-21 05:00:00,176.75,176.8,176.33,176.58,32922
2024-03-21 06:00:00,176.58,176.62,176.36,176.5,41742
2024-03-21 07:00:00,176.5,177.05,176.4,176.92,124047
2024-03-21 08:00:00,176.5,178.67,176.09,177.57,350871
2024-03-21 09:00:00,177.53,188.63,175.11,176.05,8600375
2024-03-21 10:00:00,176.05,177.11,172.58,172.591,21412368
2024-03-21 11:00:00,172.61,173.24,171.83,171.98,20754547
2024-03-21 12:00:00,171.985,175.33,171.86,172.14,8887298
2024-03-21 13:00:00,172.14,172.41,171.07,171.095,8608678
2024-03-21 14:00:00,171.095,171.48,170.85,171.117,9593981
2024-03-21 15:00:00,171.12,171.57,170.84,171.4,14116315
2024-03-21 16:00:00,171.37,183.257,170.971,171.53,19644077
2024-03-21 17:00:00,171.54,171.79,171.49,171.54,174029
2024-03-21 18:00:00,171.55,171.8,171.37,171.66,209263
2024-03-21 19:00:00,171.679,171.75,171.6,171.67,114047
2024-03-22 04:00:00,172.0,172.0,171.11,171.65,46125
2024-03-22 05:00:00,171.64,171.83,171.58,171.74,39732
2024-03-22 06:00:00,171.79,171.84,171.4,171.43,33654
2024-03-22 07:00:00,171.49,171.75,171.01,171.05,101616
2024-03-22 08:00:00,171.522,172.11,170.95,172.05,508851
2024-03-22 09:00:00,172.06,177.065,170.06,171.03,11737864
2024-03-22 10:00:00,171.04,172.56,170.87,171.89,14650386
2024-03-22 11:00:00,171.885,172.88,171.81,172.59,6567784
2024-03-22 12:00:00,172.59,172.9,172.08,172.65,5072853
2024-03-22 13:00:00,172.64,172.94,170.901,172.665,4382555
2024-03-22 14:00:00,172.66,172.935,172.37,172.75,4789518
2024-03-22 15:00:00,172.75,173.05,172.23,172.25,9660824
2024-03-22 16:00:00,172.37,173.893,164.058,172.42,19932368
2024-03-22 17:00:00,172.82,172.82,166.991,172.27,476928
2024-03-22 18:00:00,172.26,172.28,172.11,172.11,23585
2024-03-22 19:00:00,172.12,172.3,172.08,172.3,33500
2024-03-25 04:00:00,171.12,172.3,171.12,172.19,21106
2024-03-25 05:00:00,172.18,172.19,171.64,171.7,32682
2024-03-25 06:00:00,171.72,171.87,171.3,171.32,28580
2024-03-25 07:00:00,171.36,171.41,171.05,171.14,103308
2024-03-25 08:00:00,171.944,172.32,170.9,171.015,317941
2024-03-25 09:00:00,171.01,171.1,169.45,170.18,9305494
2024-03-25 10:00:00,170.18,170.61,169.77,170.55,7534457
2024-03-25 11:00:00,170.54,170.765,170.09,170.62,5005587
2024-03-25 12:00:00,170.62,171.15,170.38,170.99,4408736
2024-03-25 13:00:00,171.0,171.52,170.985,171.468,4369902
2024-03-25 14:00:00,171.465,171.61,171.235,171.448,3717822
2024-03-25 15:00:00,171.45,171.94,170.79,170.85,8598707
2024-03-25 16:00:00,170.86,176.962,162.507,170.89,17199774
2024-03-25 17:00:00,170.85,170.97,170.05,170.88,35843
2024-03-25 18:00:00,170.865,171.0,170.83,170.9,35661
2024-03-25 19:00:00,170.9,170.98,170.83,170.86,21932
2024-03-26 04:00:00,171.0,171.49,170.89,171.31,27382
2024-03-26 05:00:00,171.33,171.54,171.29,171.39,19498
2024-03-26 06:00:00,171.38,171.75,171.38,171.68,22880
2024-03-26 07:00:00,171.67,171.73,171.26,171.43,52701
2024-03-26 08:00:00,171.409,171.74,169.11,170.62,905684
2024-03-26 09:00:00,170.58,170.84,169.65,170.74,7346013
2024-03-26 10:00:00,170.74,171.07,170.36,170.645,7074113
2024-03-26 11:00:00,170.65,170.87,170.44,170.57,3990712
2024-03-26 12:00:00,170.575,171.25,170.55,171.05,5058938
2024-03-26 13:00:00,171.05,171.42,170.28,170.295,4939790
2024-03-26 14:00:00,170.29,170.58,170.16,170.55,3749073
2024-03-26 15:00:00,170.55,170.685,169.58,169.815,11459803
2024-03-26 16:00:00,169.82,179.374,164.559,169.925,20009192
2024-03-26 17:00:00,169.91,170.0,169.62,169.87,119629
2024-03-26 18:00:00,169.8,169.9,169.8,169.86,43879
2024-03-26 19:00:00,169.89,169.985,169.8,169.97,35703
2024-03-27 04:00:00,170.05,170.2,169.65,170.04,33489
2024-03-27 05:00:00,170.03,170.24,170.03,170.2,14611
2024-03-27 06:00:00,170.19,170.63,170.16,170.42,33730
2024-03-27 07:00:00,170.4,170.59,170.26,170.54,48161
2024-03-27 08:00:00,170.45,170.87,169.71,170.8,178792
2024-03-27 09:00:00,170.8,172.88,170.11,172.715,9259401
2024-03-27 10:00:00,172.72,173.12,171.94,172.455,9316091
2024-03-27 11:00:00,172.44,172.76,172.05,172.06,5157641
2024-03-27 12:00:00,172.07,172.35,171.86,172.165,4087306
2024-03-27 13:00:00,172.17,172.49,172.0,172.288,3339407
2024-03-27 14:00:00,172.28,172.82,172.23,172.7,4273159
2024-03-27 15:00:00,172.7,173.6,172.62,173.41,11769712
2024-03-27 16:00:00,173.41,173.69,162.7,173.12,18793681
2024-03-27 17:00:00,173.11,182.144,164.472,173.08,1061344
2024-03-27 18:00:00,173.09,173.31,172.88,172.93,64788
2024-03-27 19:00:00,172.93,173.0,172.81,172.9,29030
2024-03-28 04:00:00,173.27,173.38,172.57,172.79,26560
2024-03-28 05:00:00,172.77,172.86,172.51,172.63,19477
2024-03-28 06:00:00,172.69,172.9,172.64,172.67,15273
2024-03-28 07:00:00,172.68,172.78,172.39,172.46,43145
2024-03-28 08:00:00,172.755,173.38,172.2,172.46,177987
2024-03-28 09:00:00,172.49,173.31,170.72,171.35,9698010
2024-03-28 10:00:00,171.36,171.49,170.51,170.835,9307657
2024-03-28 11:00:00,170.835,171.15,170.56,171.11,5538346
2024-03-28 12:00:00,171.105,171.35,170.73,171.325,4953743
2024-03-28 13:00:00,171.325,171.5,170.89,171.48,3718813
2024-03-28 14:00:00,171.485,172.07,171.3,172.065,4334870
2024-03-28 15:00:00,172.064,172.23,171.25,171.48,9210902
2024-03-28 16:00:00,171.315,172.53,171.06,171.25,27401069
2024-03-28 17:00:00,171.25,174.463,165.54,171.39,412013
2024-03-28 18:00:00,171.37,174.467,165.322,171.31,25025
2024-03-28 19:00:00,171.31,171.31,171.03,171.21,38034
